;maj
m11;m
7b13;7alt
maj7#5;maj
+;+
699;maj
m7;m
m6;m
13#11;7alt
maj9;maj
7;7
6;maj
9;7
maj7;maj
m9;m
9sus44-3;sus
7b9b5;7alt
*m7*;m
7b9#5;7alt
N.C.;maj
9#11;7alt
7alt;7alt
7sus47;sus
sus4;sus
m#7;m
7#9b5;7alt
mb6;m
7#11;7alt
maj13;maj
11;7
*m*;m
13;7
7b5;7alt
7#5;+
7b94-3;7alt
m7b5;m7b5
7#9;7alt
m;m
9#5;+
7b9;7alt
maj7#11;maj
13b9;7alt
m699;m
7#9#5;7alt
maj9#11;maj
7#11b9;7alt
7susadd3;7
13#9;7alt
5;maj
*m6*;m
13sus44-3;sus
7#9b9;7alt
7b13b9;7alt
7#11#9;7alt
9b5;7alt
7b134-3;7alt
*7+*;+
2;maj
m9b5;m7b5
m#79;m
*maj7*;maj
